MyPosition,Dire,Fire,e1Posi,e1Dire,e2Posi,e2Dire,e3Posi,e3Dire,e4Posi,e4Dire,e5Posi,e5Dire,Bullets,Bullets,Bullets,Utility
132,2,0,0,3,17,1,19,1,6,0,8,3,21,17,15,27
131,2,0,0,0,32,1,34,1,6,1,9,3,36,34,32,36
130,2,0,0,0,47,1,49,1,21,1,10,3,49,21,62,47
130,0,0,0,1,62,1,64,1,21,0,11,3,79,11,92,61
115,0,0,15,1,77,1,79,1,21,0,12,3,109,12,92,78
100,0,0,15,1,77,1,79,1,21,2,12,3,8,92,92,99
85,0,1,15,3,92,3,94,2,21,2,13,0,10,14,14,126
70,0,1,15,3,92,3,93,2,21,3,13,0,12,93,75,159
55,0,1,30,1,92,2,93,2,22,3,13,2,13,14,94,201
40,0,1,45,1,91,2,93,3,23,3,12,2,96,92,91,253
40,1,1,60,1,90,2,94,3,23,3,11,2,24,11,91,318
40,0,1,75,1,90,2,95,3,23,0,10,2,10,90,399
40,0,1,75,1,90,2,95,3,23,0,10,2,9,90,500
40,1,1,75,1,90,1,96,3,8,0,81,1,8,96,-1
55,1,1,75,3,90,1,96,3,8,0,81,3,8,96,90,-1
70,1,1,75,3,90,1,96,0,8,2,82,3,82,8,126,-1
70,0,1,75,3,90,1,81,0,7,2,82,1,76,105,-1
70,1,1,75,2,90,0,66,0,6,2,82,1,6,-1
70,0,1,75,0,90,1,66,0,6,2,82,2,5,5,75,-1
55,0,1,60,0,90,1,66,0,4,2,81,2,4,3,60,-1
40,0,1,45,0,90,1,66,2,3,2,81,2,51,3,2,0
25,0,1,45,1,90,3,66,2,3,3,81,0,2,2,15,2
25,1,1,60,1,91,3,66,0,4,3,81,0,4,1,0,4
25,0,1,75,1,92,3,66,0,5,3,81,1,5,66,92,7
25,1,1,75,2,93,3,66,1,6,3,96,1,7,6,51,11
40,1,1,75,2,94,3,81,1,7,3,111,1,9,7,95,15
55,1,1,75,3,95,3,96,1,8,3,126,1,11,9,95,20
70,1,1,75,3,96,3,111,1,9,3,126,0,11,9,96,27
70,0,1,75,3,96,3,111,1,10,3,126,0,10,97,13,36
70,1,1,75,0,96,2,111,0,11,3,126,0,11,12,111,47
85,1,1,60,0,96,1,111,0,12,3,126,3,81,12,14,61
85,0,1,45,0,96,3,111,0,12,3,126,3,96,13,14,78
70,0,1,30,0,96,3,111,1,13,3,126,1,81,97,14,99
55,0,1,15,0,96,2,111,2,14,3,141,1,97,141,141,126
40,0,1,0,0,95,2,111,2,14,3,141,3,110,15,0,159
25,0,1,0,0,94,2,109,2,14,2,142,3,13,142,109,201
25,1,1,0,1,94,2,109,2,12,2,143,3,12,143,0,253
25,0,1,0,0,93,2,109,2,11,2,143,1,10,11,92,318
25,0,1,0,0,91,2,109,1,10,2,143,1,10,8,108,399
25,0,1,0,0,91,2,109,1,10,2,143,1,9,7,90,500
25,1,1,0,0,91,3,124,1,143,3,103,1,0,124,78
40,1,1,0,2,91,0,139,1,143,3,103,2,0,139,139,99
55,1,1,0,2,91,0,139,0,143,3,102,2,76,154,169,126
70,1,1,0,3,91,2,124,0,143,2,102,0,184,159
85,1,1,1,3,90,2,124,0,143,3,102,2,109,201
85,0,1,2,3,90,2,123,2,143,3,101,2,94,90,253
85,1,1,3,3,90,1,122,2,143,0,100,2,64,122,318
85,0,1,3,1,90,0,121,2,128,0,100,3,34,4,121,399
85,0,1,3,1,90,0,121,2,128,0,100,3,34,4,120,500
85,1,1,3,1,75,0,120,2,113,0,94,1,101,113,75,201
100,1,1,3,0,60,0,120,3,98,0,109,1,103,83,109,253
100,2,1,3,0,45,0,121,3,83,0,124,1,83,139,121,318
99,2,1,3,0,30,0,122,3,83,1,139,1,139,122,169,399
99,2,1,3,2,30,0,122,3,98,1,154,1,98,124,154,500
47,1,0,1,2,30,2,123,0,154,2,106,1,124,78
62,1,0,0,2,30,0,123,0,154,2,106,3,0,126,99
77,1,0,0,2,15,0,123,0,154,2,106,3,15,126
92,1,0,0,1,15,0,123,1,154,1,106,3,159
92,2,0,0,1,15,2,123,1,169,1,106,1,184,201
91,2,0,0,3,15,2,123,2,184,1,121,1,253
91,1,1,0,0,15,1,122,2,184,1,121,1,1,318
106,1,1,0,0,30,1,122,2,184,3,121,3,30,3,399
106,1,1,0,0,45,1,122,2,185,3,121,3,122,45,45,500
106,0,1,0,0,45,1,122,2,185,3,-1,-1,-1
91,0,1,0,3,60,1,122,3,186,3,44,1,-1
91,1,1,1,3,75,1,123,3,187,3,59,1,1,188,-1
91,3,1,1,0,90,1,124,3,188,3,74,1,90,124,2,-1
92,3,1,1,0,90,0,125,3,188,1,74,0,126,4,5,-1
93,3,1,1,1,75,0,126,3,188,1,74,1,6,7,192,-1
94,3,1,1,2,60,0,126,3,188,3,89,1,8,8,193,-1
95,3,1,1,0,45,0,126,1,188,1,89,0,9,0,10,-1
96,3,1,1,0,30,0,141,1,188,1,74,0,30,11,12,-1
96,0,1,1,1,15,0,141,1,188,2,59,0,15,0,13,-1
81,0,1,1,1,0,0,141,2,187,2,59,1,186,0,-1
81,3,1,1,0,0,0,141,2,186,2,59,0,185,184,-1
82,3,1,1,0,0,2,141,1,185,2,44,0,183,183,-1
83,3,1,1,2,0,2,141,1,184,2,29,0,182,181,-1
83,1,1,1,2,0,0,141,2,183,2,14,0,180,-1
98,1,1,1,3,0,0,141,2,182,2,14,1,0,-1
98,3,1,2,3,0,2,141,2,181,2,14,2,-1
99,3,1,3,3,0,2,141,0,180,2,13,2,3,-1
100,3,1,4,3,0,3,126,0,180,2,12,2,126,5,4,0
101,3,1,4,0,0,1,111,0,180,1,12,1,96,7,6,2
101,2,1,4,0,15,1,96,0,180,1,27,1,66,9,8,4
101,3,1,4,2,30,1,81,0,180,2,27,0,11,81,10,7
102,3,1,3,2,45,1,66,0,180,2,12,0,12,11,7,11
102,0,1,3,3,45,3,66,0,180,1,12,0,13,14,9,15
87,0,1,4,3,45,3,66,3,180,1,12,2,10,4,20
87,1,1,5,3,45,0,67,3,180,2,11,2,12,10,6,27
87,0,1,6,3,30,0,68,3,180,2,11,3,68,14,9,36
72,0,1,7,3,15,0,68,0,180,0,11,2,13,10,8,47
57,0,1,7,1,0,0,68,0,165,0,10,2,12,10,9,61
42,0,1,22,1,0,1,68,3,150,0,9,2,12,13,22,78
27,0,1,37,1,15,1,68,3,135,0,8,2,14,7,5,99
12,0,1,37,1,30,1,68,3,120,0,8,1,6,5,3,126
12,1,1,37,3,45,1,68,1,120,0,23,1,38,4,3,159
12,2,1,37,1,60,1,83,1,120,1,23,0,83,2,1,201
11,2,1,37,1,75,1,98,1,135,1,23,1,98,113,0,253
10,2,1,37,0,75,2,113,1,150,1,38,1,113,128,143,318
9,2,1,22,0,75,2,113,3,165,1,38,0,22,143,399
9,2,1,7,0,75,1,113,0,180,1,23,0,8,7,114,500
10,3,1,90,1,98,0,180,1,23,2,189,1,98,-86
11,3,1,90,3,83,0,180,2,23,0,189,3,21,68,83,-107
11,2,1,91,3,68,0,180,0,8,0,190,3,-133
10,2,1,92,3,68,0,165,0,8,3,190,1,150,-165
9,2,1,93,3,68,3,150,0,8,1,190,0,120,-206
8,2,1,94,3,68,3,135,0,23,1,175,0,38,160,-257
8,1,1,95,3,68,2,135,3,38,1,160,0,95,130,105,-321
23,1,1,96,3,67,2,135,3,38,0,145,0,67,100,96,-401
23,1,1,96,3,67,2,135,0,38,0,130,0,23,66,100,-500
126,0,0,96,3,66,2,135,0,38,0,130,0,500
111,0,1,96,3,66,2,120,0,130,2,164,1,115,399
111,0,1,96,2,66,2,120,0,130,2,164,1,100,500
111,1,1,-1,-1,66,2,120,0,129,2,164,0,129,105,318
126,1,1,66,2,120,0,129,1,149,0,184,1,127,94,105,399
126,1,1,66,2,120,0,129,1,149,0,184,1,93,500
141,1,1,120,1,129,2,134,0,184,2,6,1,144,61
141,0,1,135,1,129,0,134,1,183,2,6,2,128,135,21,78
141,3,1,150,1,129,2,134,2,182,2,5,2,114,150,165,99
141,0,1,165,1,128,2,133,2,181,2,4,2,128,84,165,126
141,3,1,180,1,128,0,132,2,181,3,4,1,127,180,3,159
141,0,1,180,1,113,0,131,2,182,3,19,1,113,183,195,201
141,3,1,180,1,113,1,130,2,183,3,34,1,185,98,83,253
141,0,1,180,0,128,1,129,2,184,3,49,1,186,128,79,318
126,0,1,165,0,143,1,129,0,185,3,64,1,109,143,158,399
126,0,1,165,0,143,1,129,0,185,3,64,1,109,143,158,500
126,1,1,150,0,129,2,186,3,79,1,114,1,114,79,187,-107
141,1,1,135,0,129,0,187,3,94,1,114,1,109,188,94,-133
141,3,1,120,0,129,2,188,3,109,1,114,0,139,124,109,-165
142,3,1,120,0,129,1,189,3,124,1,114,2,139,154,124,-206
143,3,1,120,0,129,0,190,3,124,0,113,2,144,154,169,-257
143,0,1,120,0,114,0,191,3,124,3,113,1,114,109,184,-321
143,0,1,120,0,114,2,192,3,124,0,128,1,143,84,193,-401
143,0,1,120,0,114,2,192,3,124,0,128,1,143,84,193,-500
143,0,1,120,0,114,2,192,3,124,0,128,1,500
19,0,0,120,0,114,0,193,3,109,0,47,1,94,113,194,-321
4,0,0,120,0,99,0,194,3,94,0,47,0,79,79,99,-401
4,0,0,120,2,99,0,194,3,79,0,32,0,49,64,79,-500
75,0,0,120,2,99,2,194,1,79,1,17,0,64,15
75,1,1,120,1,99,0,194,1,94,1,17,1,94,34,20
75,0,1,135,1,99,1,194,3,94,2,32,1,135,109,124,27
60,0,1,150,1,114,1,194,3,93,2,47,1,93,165,139,36
45,0,1,150,0,114,2,194,0,92,2,62,1,91,92,165,47
30,0,1,135,0,113,2,179,0,91,2,77,1,90,91,135,61
15,0,1,120,0,113,2,164,0,91,0,77,0,120,134,149,78
0,0,1,120,3,113,1,149,0,91,2,62,0,119,99
0,3,1,121,3,113,2,134,0,91,1,47,0,126
1,3,1,121,2,113,0,134,0,106,1,32,0,106,122,159
2,3,1,120,2,113,1,134,1,106,0,32,1,121,124,201
3,3,1,120,2,113,0,149,1,91,0,32,0,91,126,128,253
3,2,1,120,1,113,2,164,1,91,3,17,0,2,179,194,318
3,2,1,120,3,113,0,179,1,92,3,2,0,92,135,194,399
3,2,1,120,3,113,0,179,1,92,3,2,0,93,135,194,500
2,2,1,121,3,98,0,179,1,92,1,1,1,121,98,399
2,2,1,122,3,98,0,194,1,92,0,1,0,107,122,122,500
2,3,1,122,0,83,1,194,1,92,2,40,1,253
3,3,1,122,0,98,1,194,0,92,0,55,1,318
4,3,1,122,2,98,0,179,0,92,2,55,0,164,399
4,3,1,121,2,83,0,164,0,92,0,40,0,134,149,500
5,3,1,121,2,83,0,164,0,-1,-1,40,0,201
6,3,1,121,1,83,1,164,3,25,0,44,1,68,120,134,253
7,3,1,121,1,98,1,164,3,25,1,44,0,98,318
7,1,1,121,1,98,0,164,2,25,0,44,1,113,128,399
7,1,1,121,1,98,0,164,2,10,0,44,1,113,128,163,500
7,1,1,121,1,98,0,164,2,-1,-1,44,1,500
22,1,1,121,0,83,0,164,2,44,0,36,1,83,78
22,0,1,106,0,68,0,164,1,44,1,36,3,53,99
22,1,1,106,3,68,1,179,1,59,1,37,3,37,91,194,126
22,2,1,106,3,83,1,194,1,59,0,38,3,38,83,159
22,1,1,106,0,83,0,194,1,59,1,38,3,98,113,201
37,1,1,91,0,68,0,194,1,59,0,38,1,128,143,253
37,3,1,91,0,68,0,194,2,44,0,38,1,158,318
37,3,1,91,1,68,1,193,2,29,0,38,3,399
37,3,1,91,1,68,1,193,2,29,0,38,3,500
37,0,1,106,1,83,1,192,2,14,0,128,1,83,106,191,11
22,0,1,121,1,83,2,191,2,14,1,143,1,98,113,121,15
22,1,1,121,2,82,2,190,2,14,2,143,1,128,128,188,20
22,3,1,121,3,81,2,190,3,13,2,143,0,81,158,186,27
22,0,1,122,3,81,0,191,3,12,2,128,0,128,122,184,36
